frase, cartegoria
"Donna 1: ""Hai letto il nuovo romanzo di Elena Ferrante?"" Donna 2: ""Sì l'ho letto in una settimana è stato molto emozionante""",saluti
"Donna 1: ""Hai preso lezioni di yoga?"" Donna 2: ""Sì mi aiutano a rilassarmi""",saluti
"Donna 1: ""Come ti è sembrato il nuovo ristorante in città?"" Donna 2: ""Mi è piaciuto la cucina è stata buona""",saluti
"Donna 1: ""Hai visto la mia galleria di foto su Instagram?"" Donna 2: ""Sì mi è piaciuta la tua vacanza in Grecia""",saluti
"Donna 1: ""Hai preso in considerazione il viaggio in Giappone?"" Donna 2: ""Sì sto pensando di andarci l'estate prossima""",saluti
"Donna 1: ""Hai letto il libro sugli orsi polari?"" Donna 2: ""Sì l'ho letto con mio figlio era un libro molto bello""",apparenza
"Donna 1: ""Hai preso il treno per la tua vacanza?"" Donna 2: ""Sì ho preso il treno ieri mattina""",saluti
"Donna 1: ""Hai visto il mio nuovo post su Facebook?"" Donna 2: ""Sì mi è piaciuto il tuo articolo sulla salute""",saluti
"Donna 1: ""Hai comprato il nuovo album di musiche classiche?"" Donna 2: ""Sì l'ho ascoltato stasera è molto bello""",apparenza
"Donna 1: ""Hai preso in considerazione il nuovo corso di cucina?"" Donna 2: ""Sì sto pensando di iscrivermi mi piace cucinare""",saluti
"Donna 1: ""Hai visto la mia nuova auto?"" Donna 2: ""Sì è molto bella ti sta molto bene""",saluti
"Donna 1: ""Hai letto il mio nuovo post sul blog?"" Donna 2: ""Sì mi è piaciuto il tuo articolo sul turismo""",saluti
"Donna 1: ""Hai preso in considerazione il nuovo lavoro part-time?"" Donna 2: ""Sì sto pensando di accettare mi sembra un'opportunità interessante""",carriera
"Donna 1: ""Hai visto il mio nuovo anello?"" Donna 2: ""Sì ti sta molto bene è un regalo bello""",apparenza
"Donna 1: ""Come va il tuo weekend?"" Donna 2: ""Bene sto aspettando il mio viaggio in Spagna.""",saluti
"Donna 1: ""Hai visto il nuovo film di Cate Blanchett?"" Donna 2: ""Sì è stato molto emozionante lo consiglio.""",saluti
"Donna 1: ""Ti va di andare al parco oggi?"" Donna 2: ""Sì il tempo è bellino andiamo!""",saluti
"Donna 1: ""Hai letto il nuovo libro di Elena Ferrante?"" Donna 2: ""Sì è stato molto interessante la storia è bella.""",saluti
"Donna 1: ""Come si chiama il tuo nuovo gatto?"" Donna 2: ""Si chiama Luna è un cucciolo adorabile.""",saluti
"Donna 1: ""Vai in palestra spesso?"" Donna 2: ""Sì tre volte a settimana è un mio obiettivo.""",saluti
"Donna 1: ""Hai preso le ferie in inverno o in estate?"" Donna 2: ""In estate andrò in vacanza a Sardinnia.""",saluti
"Donna 1: ""Ti piace il cibo cinese?"" Donna 2: ""Sì il ristorante cinese vicino a casa è il mio preferito.""",saluti
"Donna 1: ""Hai visto la mia nuova foto in Instagram?"" Donna 2: ""Sì sembri molto bella complimenti!""",saluti
"Donna 1: ""Vai al concerto dei Maneskin in settimana?"" Donna 2: ""Sì ho già prenotato i biglietti sono molto emozionata.""",saluti
"Donna 1: ""Hai preso in considerazione un nuovo lavoro?"" Donna 2: ""Sì sto valutando due offerte non so ancora cosa scegliere.""",carriera
"Donna 1: ""Ti piace il mare in autunno?"" Donna 2: ""Sì il mare è calmo e il clima è mite è il mio periodo preferito.""",saluti
"Donna 1: ""Hai comprato un nuovo libro di testo?"" Donna 2: ""Sì devo studiare per l'esame è un libro molto utile.""",saluti
"Donna 1: ""Vai in bicicletta spesso?"" Donna 2: ""Sì ogni giorno è un mio mezzo di trasporto preferito.""",hobby
"Donna 1: ""Hai visto il mio nuovo post su Facebook?"" Donna 2: ""Sì è stato molto bello complimenti per la fotografia!""",apparenza
"Donna 1: ""Ti va di andare al cinema con me?"" Donna 2: ""Sì andiamo a vedere il nuovo film di Marvel.""",saluti
"Donna 1: ""Hai preso in considerazione un viaggio in Giappone?"" Donna 2: ""Sì è un mio sogno spero di andarci un giorno.""",saluti
"Donna 1: ""Vai in palestra con la tua amica?"" Donna 2: ""Sì andiamo insieme tre volte a settimana è un nostro rituale.""",saluti
"Donna 1: ""Hai letto il nuovo articolo di la Repubblica?"" Donna 2: ""Sì è stato molto interessante parlava di un tema molto attuale.""",saluti
"Donna 1: ""Ti piace il tuo nuovo orologio?"" Donna 2: ""Sì me l'ha regalato il mio fidanzato è molto bello.""",apparenza
donna 1: Hai visto il nuovo negozio di abbigliamento che è aperto in centro? donna 2: Sì l'ho vista sembra molto carino.,saluti
"Alessia: ""Come va oggi Francesca?"" Francesca: ""Bene grazie ma un po' stordita dal traffico""",saluti
"Giovanna: ""Hai preso i biglietti per il concerto?"" Lorenza: ""Sì stamattina per noi due""",saluti
"Elisabetta: ""Ti va di andare al parco oggi?"" Giulia: ""Sì faremo una passeggiata""",saluti
"Luisa: ""Hai finito il tuo progetto?"" Roberta: ""Sì finalmente stasera lo presenterò""",carriera
"Anna: ""Hai visto il nuovo film di Meryl Streep?"" Livia: ""Sì bellissimo l'ho visto ieri sera""",saluti
"Greta: ""Vai in vacanza con le amiche?"" Laura: ""Sì in Grecia tra due settimane""",saluti
"Silvia: ""Hai preso in considerazione il nuovo lavoro?"" Alessandra: ""Sì devo decidere fra oggi e domani""",carriera
"Marta: ""Ti va di provare il nuovo ristorante?"" Vera: ""Sì stasera andremo insieme""",saluti
"Beatrice: ""Hai ricevuto il regalo di compleanno?"" Chiara: ""Sì bellissimo grazie a te""",saluti
"Giulia: ""Hai iniziato a studiare il nuovo corso?"" Elena: ""Sì ieri sera ho iniziato""",saluti
"Lidia: ""Vai al mare con la famiglia?"" Mirna: ""Sì in luglio per due settimane""",famiglia
"Sofia: ""Hai preso i libri per il corso?"" Frances: ""Sì stamattina in biblioteca""",saluti
"Gaia: ""Hai partecipato alla festa di ieri? Luna: Sì non potevo mancare era il mio compleanno""",saluti
"Vittoria: ""Ti va di andare al cinema con me?"" Camilla: ""Sì stasera il nuovo film di Marvel""",saluti
"Erika: ""Hai finito il tuo esercizio fisico?"" Aurora: ""Sì stamattina in palestra""",saluti
"Lara: ""Hai ricevuto la risposta dal concorso?"" Stefania: ""Sì ieri ho ricevuto la notizia positiva""",saluti
"Giorgina: ""Vai in città con le amiche?"" Marcella: ""Sì per un giorno per fare shopping""",saluti
"Elvira: ""Hai iniziato a scrivere il tuo romanzo?"" Virginia: ""Sì da un mese sto lavorando al manoscritto""",saluti
"Cecilia: ""Hai preso il biglietto aereo per le vacanze?"" Giuliana: ""Sì stamattina per l'estate""",saluti
"Paola: ""Hai partecipato alla conferenza di ieri?"" Gabriella: ""Sì era molto interessante l'ho trovata utile""",saluti
"Donna 1: ""Come sei stata al week-end?"" Donna 2: ""Ho passato due giorni in montagna, è stato bellissimo!""",saluti
"Donna 1: ""Hai provato il nuovo ristorante in centro?"" Donna 2: ""Sì, è stato delizioso, consiggo il risotto.""",saluti
"Donna 1: ""Ti va di andare al cinema stasera?"" Donna 2: ""Sì, ho aspettato questo film da mesi, vado!""",saluti
"Donna 1: ""Come hai risolto il problema con il computer?"" Donna 2: ""Ho chiamato il tecnico, è stato molto gentile.""",conflitti
"Donna 1: ""Hai letto il nuovo libro di Elena Ferrante?"" Donna 2: ""Sì, è stato meraviglioso, la sua prosa è bellissima.""",saluti
"Donna 1: ""Ti va di venire al mio compleanno?"" Donna 2: ""Sì, naturalmente, ti auguro un buon giorno!""",saluti
"Donna 1: ""Come ti senti dopo la partenza del tuo fratello?"" Donna 2: ""Mi manca molto, ma sto cercando di non pensare al lutto.""",famiglia
"Donna 1: ""Hai visto la nuova mostra d'arte in città?"" Donna 2: ""Sì, è stata incredibile, i dipinti erano bellissimi.""",saluti
"Donna 1: ""Ti va di andare in vacanza in Grecia?"" Donna 2: ""Sì, ci andremo l'estate prossima, ci sto sognando già.""",saluti
"Donna 1: ""Come hai gestito la tua azienda durante la tua assenza?"" Donna 2: ""Mia sorella ha gestito tutto, è stata bravissima.""",famiglia
"Donna 1: ""Hai preso in considerazione il nuovo lavoro offerto?"" Donna 2: ""Sì, sto pensando se accettarlo o no.""",carriera
"Donna 1: ""Ti va di andare al concerto di musica classica?"" Donna 2: ""Sì, amo la musica classica, vado con piacere.""",saluti
"Donna 1: ""Come hai risolto il problema di salute?"" Donna 2: ""Ho visto il medico, ha detto che andrò bene.""",conflitti
"Donna 1: ""Hai visto la mia nuova foto su Instagram?"" Donna 2: ""Sì, sei sembrata bellissima, ti auguro molti like!""",saluti
"Donna 1: ""Ti va di venire al mio matrimonio?"" Donna 2: ""Sì, naturalmente, ti auguro un giorno felice!""",saluti
"Donna 1: ""Come ti senti per il tuo esame di maturità?"" Donna 2: ""Sono un po' stressata, ma sto cercando di non pensare al fallimento.""",saluti
"Donna 1: ""Hai comprato il nuovo libro di cucina?"" Donna 2: ""Sì, ho provato alcune ricette e sono state deliziose.""",saluti
"Donna 1: ""Ti va di andare in bicicletta insieme la prossima domenica?"" Donna 2: ""Sì, faremo un giro in campagna, sarà bello.""",apparenza
"Donna 1: ""Come hai gestito la tua casa durante la tua assenza?"" Donna 2: ""Mia amica ha aiutato a tenere in ordine la casa.""",saluti
"Donna 1: ""Hai visto la mia nuova auto?"" Donna 2: ""Sì, è bellissima, ti auguro molti km felici!""",saluti
